"name","id","start_date","distance","time_minutes","total_elevation_gain","average_heartrate","max_heartrate","average_cadence","average_speed","suffer_score"
"Long run in the trails",5648603505,"2021-07-18T13:04:35Z",18.088,132.9,260.1,136.5,159,83.7,8.6112,34
"TriOKC aquathon - run",5642582725,"2021-07-17T13:04:47Z",3.3988,12.7666666666667,36.9,138.7,145,93.1,15.9732,3
"Afternoon Run",5629365386,"2021-07-14T22:25:44Z",8.5942,52.3,6.3,136.3,149,85.3,10.6704,12
"Evening Run",5623944293,"2021-07-14T01:02:39Z",7.5243,32.4666666666667,20.1,171,180,89.3,13.9068,70
"Feeling good, ran a half",5611667845,"2021-07-11T14:19:32Z",21.2237,93.2333333333333,29.3,154.5,166,89.4,13.7952,106
"Evening Run",5587126482,"2021-07-06T23:48:15Z",6.694,30.85,16,167.3,180,87.8,13.0176,60
"Morning Run",5574417818,"2021-07-04T13:00:05Z",16.3988,95.2,58.3,129.8,141,85.2,10.3896,21
"Evening Run",5524689980,"2021-06-25T00:08:49Z",9.7637,48.1833333333333,35.3,154.9,168,87.2,12.3768,53
"Evening Run",5514432123,"2021-06-23T00:44:30Z",6.7625,29.8666666666667,15.3,162.2,178,89.8,13.5864,44
"Morning Run",5501857406,"2021-06-20T13:24:44Z",15.6298,113.4,193.5,130.6,150,84.6,8.352,26
"Pool closed down. So I ran.",5477074894,"2021-06-15T22:47:49Z",9.728,50.4166666666667,0,151.3,179,88.5,12.042,56
"Morning Run",5463658807,"2021-06-13T13:29:54Z",12.9229,72.5333333333333,16.9,133.7,145,86.3,10.746,17
"2x10 min tempo",5446462414,"2021-06-10T13:03:39Z",11.9967,65.6666666666667,88.9,153.2,178,87.6,11.9556,55
"Evening Run",5438104656,"2021-06-09T00:14:46Z",7.9183,44.1166666666667,12.4,141.4,157,85.3,11.07,21
"Afternoon Run",5419905275,"2021-06-05T19:54:07Z",9.2709,45.2,21.1,158.2,168,86.1,12.3444,61
"Time to get off the couch",5374355599,"2021-05-28T23:52:01Z",9.0227,41.85,16.2,154,179,87,13.194,44
"Morning Run",5307750850,"2021-05-16T13:57:42Z",12.1353,65.4166666666667,16.8,133,161,86.3,11.1996,17
"Morning Run",5284200735,"2021-05-12T12:51:09Z",12.1358,54.1,21.8,151.9,189,90.3,13.6116,48
"Evening Run",5271015418,"2021-05-09T23:29:55Z",10.0764,54.2,22.9,141.8,155,86,11.628,17
"Evening Run",5243801777,"2021-05-05T00:41:53Z",4.5273,25.3666666666667,4.7,133.4,142,86.6,10.9368,6
"Afternoon Run",5233151251,"2021-05-02T22:51:18Z",16.0002,70.6666666666667,37,162.9,173,89.6,13.86,116
"Lunch Run",5231087168,"2021-04-30T16:25:14Z",7.755,39.3,67.4,153.7,173,87.8,12.5028,37
"Slow and steady",5190587058,"2021-04-25T12:59:26Z",10.0992,66.4,11.8,121.4,165,85.5,9.7092,13
"Afternoon Run",5174663694,"2021-04-22T19:56:59Z",13.545,62.6166666666667,37.2,150.1,180,89.5,13.1148,46
"Morning Run",5149275995,"2021-04-18T13:05:09Z",12.3695,71.6333333333333,47.9,135.4,167,88.4,11.736,17
"Afternoon Run",5144549753,"2021-04-15T20:25:07Z",9.2565,46.7333333333333,20.2,143,153,88.5,12.0708,16
"Morning Run",5069046277,"2021-04-04T12:56:50Z",16.0047,102.55,49.8,119.9,154,85.8,9.8892,19
"Off the bike tempo",5040567995,"2021-03-30T20:59:31Z",10.0028,42.2833333333333,23,162.6,169,92.6,14.2344,70
"Morning Run",5026575705,"2021-03-28T12:56:50Z",11.1483,74.5833333333333,44.8,125,151,86.4,9.9864,14
"Lunch Run",5021112036,"2021-03-27T17:48:08Z",7.0952,30.5666666666667,13.1,166.3,178,91.1,14.184,54
"Evening Run",5011314679,"2021-03-26T00:14:56Z",9.1453,49.6666666666667,24.8,163.2,183,87,11.268,79
"Morning Run",4984995228,"2021-03-21T13:00:41Z",9.5828,66.7666666666667,47.6,132.3,165,87.8,10.4436,13
"Build",4969553780,"2021-03-18T20:09:12Z",10.2357,45.9666666666667,26.3,149.5,172,88.9,13.5072,32
"3k off the bike",4959026469,"2021-03-16T21:25:47Z",4.343,19.2,12.2,164.7,179,90,13.572,32
"The reason I don't trust built in hrm",4945977106,"2021-03-14T13:02:22Z",12.7571,73.3833333333333,21.4,178.3,193,86,10.836,35
"Evening Run",4936763715,"2021-03-13T00:34:35Z",10.3909,53.3333333333333,25.2,136.5,172,86.8,11.7648,15
"Afternoon Run",4920726001,"2021-03-09T21:32:02Z",9.5482,43.3333333333333,25.7,155.7,178,90.9,13.2192,47
"I'll turn when you turn...",4907576472,"2021-03-07T14:01:53Z",12.5965,75.4166666666667,52.9,139.4,165,85.4,10.3752,22
"Morning Run",4866284550,"2021-02-28T13:58:16Z",11.5658,70.8166666666667,27.6,124.3,142,85.2,9.9684,14
"Morning Run",4826341685,"2021-02-21T16:01:53Z",15.4645,94.7333333333333,26.1,148.4,178,85.3,9.9756,71
"Morning Run",4751661283,"2021-02-07T14:01:23Z",16.0063,92.4833333333333,70.2,160.4,193,86.3,10.5948,134
"Evening Run",4746869868,"2021-02-06T00:35:12Z",10.9652,65.5833333333333,26.6,128.4,164,85.7,10.1412,16
"Morning Run",4712003669,"2021-01-31T13:56:47Z",10.7781,57.4666666666667,12.9,136.7,185,89.7,11.3112,16
"Why does cold air feel clean",4686632785,"2021-01-26T21:13:52Z",10.0012,47.75,36.8,156.6,182,90.7,13.0536,47
"Morning Run",4626817547,"2021-01-15T23:35:24Z",11.1961,50.5833333333333,162.7,149,169,91.2,13.2876,40
"Morning Run",4624488557,"2021-01-15T00:45:46Z",10.0066,48.3333333333333,154.9,144.9,169,86.6,12.564,23
"LGK airport",4584676227,"2021-01-07T22:57:45Z",16.7774,88.5666666666667,26.1,168,204,88,11.5452,175
"Morning Run",4579603675,"2021-01-06T23:23:10Z",10.1691,52.1333333333333,61.7,142.9,167,88.8,12.8556,23
"Morning Run",4574122778,"2021-01-05T23:54:31Z",6.1859,32.5333333333333,14.9,132.5,147,86.2,11.4084,7
"Rushed ""long"" run",4559300836,"2021-01-03T10:24:29Z",12.531,59.0166666666667,244.7,164.6,188,88.9,12.7404,103
"21k for 2021? Nah",4546737960,"2020-12-31T23:38:03Z",10.7437,50.05,161.3,142.6,167,91,12.9276,28
"Morning Run",4532070120,"2020-12-29T00:01:31Z",9.0048,49.1833333333333,169,163,187,89,11.1024,75
"Cool down jog",4522265360,"2020-12-26T23:26:58Z",2.1615,12.9166666666667,12.5,133.2,141,86.9,10.0404,3
"5k Run",4522265188,"2020-12-26T23:06:05Z",5.009,17.95,14.6,167.8,173,95.2,16.7436,33
"Warm up",4522264828,"2020-12-26T22:46:24Z",2.9376,15.8833333333333,39.6,128.5,161,85.6,11.3472,4
"Morning Run",4517631948,"2020-12-26T00:47:51Z",8.2238,43.5833333333333,105.6,167.5,190,88.8,11.3652,83
"Morning Run",4510323484,"2020-12-23T23:32:51Z",8.9485,47.2,153.3,132.4,143,88.1,11.4408,11
"Morning Run",4506412541,"2020-12-22T23:39:58Z",9.1355,43.7333333333333,167.6,139.6,172,89.7,12.5964,18
"Morning Run",4502183892,"2020-12-21T23:26:17Z",8.577,45.6833333333333,178.7,142.6,188,87.2,11.2644,21
"Morning Run",4493505318,"2020-12-19T23:32:42Z",21.3623,100.2,303.1,155.4,168,91.1,12.816,119
"Cool morning rain",4485258446,"2020-12-17T22:58:14Z",10.1671,47.7,128.4,151.1,173,89.7,12.9096,39
"Morning Run",4481406415,"2020-12-16T23:16:28Z",9,47.4333333333333,138.2,137.5,147,88.8,11.4012,12
"Morning Run",4477485408,"2020-12-15T22:47:37Z",11.0195,53.7,81.9,149,174,89.3,12.6,42
"Morning Run",4472667452,"2020-12-13T23:29:25Z",8.7804,58.3,81.2,125,142,87.8,9.7884,11
"Morning Run",4456601481,"2020-12-10T22:42:13Z",9.9988,44.5333333333333,152.3,154.4,172,92.7,13.4712,45
"Morning Run",4452438522,"2020-12-09T23:04:14Z",11.0047,62.3833333333333,150.3,142.8,160,90.7,11.9376,25
"Hill repeats",4448275942,"2020-12-08T22:52:17Z",13.5966,74.15,300.6,150.7,173,87.3,11.0304,62
"Morning Run",4447476475,"2020-12-07T23:11:43Z",8.3922,45.5666666666667,124.1,137.5,179,88.5,11.052,14
"Morning Run",4435155338,"2020-12-05T23:31:39Z",18.0023,86.1166666666667,268.6,145.8,165,90.8,12.5424,47
"Probably should've done another set",4426659874,"2020-12-03T22:34:02Z",10.2129,54.6666666666667,92.9,147.3,174,88.2,11.664,32
"Morning Run",4425823942,"2020-12-02T23:24:10Z",8.0085,43.45,135,144.5,164,90.6,11.268,24
"Build set in drizzling rain",4418370937,"2020-12-01T22:58:56Z",10.4595,47.2,209.9,155.4,174,91.1,13.2948,51
"Wet and gloomy",4413924642,"2020-11-30T22:55:49Z",9.9992,52.05,196,145.2,174,88.5,11.7648,26
"Morning Run",4404769228,"2020-11-28T23:46:05Z",17.0135,83.1,227.3,145,166,89.9,12.384,42
"Friday intervals",4395723387,"2020-11-26T23:08:28Z",10.8039,54.3166666666667,175.9,151.9,172,89.3,12.3912,47
"Morning Run",4391301370,"2020-11-25T23:46:43Z",7.4961,40.8166666666667,98.9,137.8,154,89.1,11.1276,13
"Tempo",4386574791,"2020-11-24T22:44:42Z",11.182,51.2,233.1,149.6,168,92.2,13.1112,45
"Morning Run",4381893382,"2020-11-23T22:50:36Z",10.1828,47.7333333333333,186.5,153.9,165,88.9,12.852,56
"Long and slow",4372043777,"2020-11-21T23:06:29Z",16.2377,85.0166666666667,256.9,144,163,89.5,11.6964,46
"Fartlek",4362419471,"2020-11-19T22:40:51Z",11.0055,49.4166666666667,214,155.7,176,90.4,13.3632,55
"Eaaaasy",4358033171,"2020-11-18T22:55:32Z",8.5774,43.8,140.3,139.1,149,87.2,11.7504,12
"Morning Run",4353285975,"2020-11-17T22:38:58Z",10.2306,52.6333333333333,78.7,149.8,175,87.4,12.1104,39
"Workin on the stride",4348400620,"2020-11-16T22:53:42Z",11.8645,58.2833333333333,238,158.7,179,85.2,12.2148,82
"Search for the trail I found on Google maps...",4333678868,"2020-11-13T22:42:39Z",13.25,66.3333333333333,234.3,151.1,171,89,12.0096,55
"Morning Run",4329424600,"2020-11-12T22:38:14Z",9.0372,45.15,193.8,152.5,179,88.5,12.0492,41
"Felt like I was walking",4324980253,"2020-11-11T23:01:47Z",9.2417,49.0333333333333,206.3,148.2,183,87.8,11.4876,33
"10x2 minute efforts",4320016211,"2020-11-10T22:51:49Z",10.4312,58.9166666666667,31.8,150.1,179,87.2,11.3184,44
"Morning Run",4311366059,"2020-11-08T23:21:14Z",9.1018,44.45,186.6,157.2,176,87.2,12.4308,57
"Long(-ish) run",4299268768,"2020-11-06T22:57:44Z",11.7984,61.25,175.7,149.5,172,86.7,11.6784,52
"Morning Run",4292075676,"2020-11-05T22:40:14Z",10.5562,56.8333333333333,100.9,148.7,177,87.9,11.3724,40
"Zone 2?",4287427249,"2020-11-04T22:49:29Z",9.1505,46.5833333333333,120.8,151.6,171,86.1,11.7864,45
"Gotta stop doing junk miles",4278118732,"2020-11-02T22:04:32Z",10.5498,57.3666666666667,70.6,152.4,179,88.1,11.5056,47
"Morning Run",4273997157,"2020-11-01T23:08:28Z",9.1116,48.65,150.5,146,164,87.2,11.3868,31
"I'll call this the shoe loop",4260460315,"2020-10-29T22:48:23Z",10.7192,54.9833333333333,168.9,157.4,186,87.2,11.7828,70
"Morning Run",4256574920,"2020-10-28T23:06:43Z",8.9122,43.9833333333333,202.3,154.9,180,90.5,12.2256,49
"Patience is a virtue",4252411016,"2020-10-27T23:27:19Z",10.1735,57.1,179.7,153.7,166,87.9,10.728,61
"First run post quarantine",4244154496,"2020-10-25T22:11:47Z",9,47.5666666666667,161.1,163.8,176,85.8,11.3616,81
"Morning Run",4167323414,"2020-10-08T11:31:27Z",11.5302,52.4,10.5,144.3,170,88.5,13.2768,24
